,id_sampl,Survey,strata_id,ass_site,district,number_families,number_individuals,geopoint_1,X_geopoint_1_latitude,X_geopoint_1_longitude,X_geopoint_1_altitude,X_geopoint_1_precision,psu_id,pop_numbers,SumDist,proba,survey_buffer
9,id_164,6,all,kaamil santer,mogadishu_kahda,800,4600,2.064108333333333 45.243900000000004 101.8 4.2,2.064108333,45.2439,101.8,4.2,kaamil santer,800,68204,0.011729517,6
10,id_165,6,all,Kalkaal IDPs Center,mogadishu_kahda,200,800,2.0661666666666667 45.23218166666667 136.2 4.7,2.066166667,45.23218167,136.2,4.7,Kalkaal IDPs Center,200,68204,0.002932379,6
11,id_19,6,all,Awbale center,mogadishu_kahda,766,4596,2.046691666666667 45.254973333333325 99.7 5.0,2.046691667,45.25497333,99.7,5,Awbale center,766,68204,0.011231013,6
12,id_194,6,all,Maandeeq (1),mogadishu_kahda,300,1500,2.0665939200640913 45.23901398292996 99.2628197216137 4.0,2.06659392,45.23901398,99.26281972,4,Maandeeq (1),300,68204,0.004398569,6
13,id_206,6,all,Midnimo center,mogadishu_kahda,684,3420,2.068845690228045 45.2411172632128 73.0 5.0,2.06884569,45.24111726,73,5,Midnimo center,684,68204,0.010028737,6
14,id_24,6,all,Baardheere3,mogadishu_kahda,60,360,2.054095 45.26602833333333 68.3 3.2,2.054095,45.26602833,68.3,3.2,Baardheere3,60,68204,0.000879714,6
15,id_240,12,all,Tayo center,mogadishu_kahda,735,4410,2.060389592350364 45.242585192720355 45.24646075139513 6.0,2.060389592,45.24258519,45.24646075,6,Tayo center,735,68204,0.010776494,12
16,id_256,6,all,Xaqdhowr center,mogadishu_kahda,2700,13500,2.059574634768069 45.24468376301229 52.0 13.0,2.059574635,45.24468376,52,13,Xaqdhowr center,2700,68204,0.039587121,6
17,id_262,6,all,Yoow kooyoow center,mogadishu_kahda,100,600,2.04796307 45.25865199 61.0 3.0,2.04796307,45.25865199,61,3,Yoow kooyoow center,100,68204,0.00146619,6
18,id_56,6,all,Buulo shiiq canter,mogadishu_kahda,280,1700,2.0679133333333337 45.23717666666666 133.3 4.6,2.067913333,45.23717667,133.3,4.6,Buulo shiiq canter,280,68204,0.004105331,6
19,id_66,6,all,Camp alkaaf,mogadishu_kahda,90,540,2.0614352 45.2651397 0.0 2475.0,2.0614352,45.2651397,0,2475,Camp alkaaf,90,68204,0.001319571,6
20,id_7,6,all,Ala qabe,mogadishu_kahda,130,720,2.0591599842916355 45.26781443801306 44.013470770201636 6.0,2.059159984,45.26781444,44.01347077,6,Ala qabe,130,68204,0.001906047,6
21,id_97,12,all,Doon Cadale IDPs Center,mogadishu_kahda,690,2760,2.0684816666666666 45.233378333333334 156.1 4.7,2.068481667,45.23337833,156.1,4.7,Doon Cadale IDPs Center,690,68204,0.010116709,12
1,id_10,6,all,200 road corridor,hargeysa,600,3600,9.6013891 44.0862028 1327.0 4.731,9.6013891,44.0862028,1327,4.731,200 road corridor,600,18820,0.031880978,6
2,id_11,42,all,State house,hargeysa,4000,24000,9.5586908608675 44.03978576883674 1277.199951171875 5.0,9.558690861,44.03978577,1277.199951,5,State house,4000,18820,0.212539851,42
3,id_12,6,all,Cakaara,hargeysa,500,3000,9.55178723204881 44.06149866990745 1254.0 5.0,9.551787232,44.06149867,1254,5,Cakaara,500,18820,0.026567481,6
4,id_13,18,all,Golwaraabe,hargeysa,500,2500,9.527555007697549 44.09123690391663 1319.1514927806227 4.0,9.527555008,44.0912369,1319.151493,4,Golwaraabe,500,18820,0.026567481,18
5,id_16,12,all,Ayax 3,hargeysa,2000,10000,9.524256666666668 44.02320666666666 1355.4 6.9,9.524256667,44.02320667,1355.4,6.9,Ayax 3,2000,18820,0.106269926,12
6,id_18,12,all,Naaso hablood A (T20),hargeysa,562,2810,9.57251281371866 44.1019164590411 1278.38223233184 4.0,9.572512814,44.10191646,1278.382232,4,Naaso hablood A (T20),562,18820,0.029861849,12
7,id_19,6,all,Ayax 4,hargeysa,420,2555,9.5167619 44.0314227 1358.0 4.817,9.5167619,44.0314227,1358,4.817,Ayax 4,420,18820,0.022316684,6
8,id_20,12,all,M.mooge IDPA,hargeysa,472,2832,9.539455592112056 44.10847070951372 1269.2380569244608 4.0,9.539455592,44.10847071,1269.238057,4,M.mooge IDPA,472,18820,0.025079702,12
9,id_21,30,all,Naasa hablood B,hargeysa,500,2500,9.576787849873186 44.08775136269885 1250.92795485578 4.0,9.57678785,44.08775136,1250.927955,4,Naasa hablood B,500,18820,0.026567481,30
10,id_22,6,all,Digaale,hargeysa,1180,7080,9.5126897014119 44.12097914949567 1324.1466614866217 4.0,9.512689701,44.12097915,1324.146661,4,Digaale,1180,18820,0.062699256,6
11,id_5,6,all,"jimca


ale idp",hargeysa,146,730,9.5951058 44.0948387 1312.0 4.588,9.5951058,44.0948387,1312,4.588,"jimca
ale idp",146,18820,0.007757705,6
12,id_8,18,all,Ayax 1,hargeysa,2000,5000,9.5323023 44.0417653 1298.0 4.823,9.5323023,44.0417653,1298,4.823,Ayax 1,2000,18820,0.106269926,18
13,id_9,24,all,Ayax 2,hargeysa,3500,20000,9.5360099 44.0331569 1299.0 4.976,9.5360099,44.0331569,1299,4.976,Ayax 2,3500,18820,0.18597237,24
