,id_sampl,Survey,strata_id,Site,district,number_families,number_individuals,geopoint_1,X_geopoint_1_latitude,X_geopoint_1_longitude,X_geopoint_1_altitude,X_geopoint_1_precision,psu_id,pop_numbers,SumDist,proba,survey_buffer
12,id_257,12,all,Yoow kooyoow center,mogadishu_kahda,100,600,2.04796307 45.25865199 61.0 3.0,2.04796307,45.25865199,61,3,Yoow kooyoow center,100,67495,0.001481591,12
13,id_4,6,all,Balanbaalis,mogadishu_kahda,250,1250,2.0666868971713606 45.239814532519446 86.86877322909095 16.0,2.066686897,45.23981453,86.86877323,16,Balanbaalis,250,67495,0.003703978,6
14,id_57,6,all,Kaxda /waxda 3aad/Alafutow center,mogadishu_kahda,190,1050,2.0629283333333333 45.24395 113.7 5.0,2.062928333,45.24395,113.7,5,Kaxda /waxda 3aad/Alafutow center,190,67495,0.002815023,6
15,id_59,6,all,Kaxda waaxda 3aad/Bismila center,mogadishu_kahda,322,1940,2.063685 45.24437833333333 163.7 5.0,2.063685,45.24437833,163.7,5,Kaxda waaxda 3aad/Bismila center,322,67495,0.004770724,6
16,id_61,6,all,Kuntuwaarey,mogadishu_kahda,700,4200,2.061115 45.23014833333333 95.9 5.0,2.061115,45.23014833,95.9,5,Kuntuwaarey,700,67495,0.010371139,6
17,id_7,12,all,Xaqdhowr center,mogadishu_kahda,2700,13500,2.059574634768069 45.24468376301229 52.0 13.0,2.059574635,45.24468376,52,13,Xaqdhowr center,2700,67495,0.040002963,12
18,id_72,6,all,Talabuna,mogadishu_kahda,110,660,2.058718333333333 45.25912 84.9 5.0,2.058718333,45.25912,84.9,5,Talabuna,110,67495,0.00162975,6
19,id_79,6,all,Aljurus center,mogadishu_kahda,584,2920,2.064445 45.227515 111.2 4.9,2.064445,45.227515,111.2,4.9,Aljurus center,584,67495,0.008652493,6
20,id_87,6,all,Diinsoor,mogadishu_kahda,320,1920,2.06 45.25253333333333 114.9 4.9,2.06,45.25253333,114.9,4.9,Diinsoor,320,67495,0.004741092,6
21,id_95,6,all,Kaxda waxda 3aad/Ijaabo center,mogadishu_kahda,360,1800,2.066656666666667 45.24413500000001 149.1 4.9,2.066656667,45.244135,149.1,4.9,Kaxda waxda 3aad/Ijaabo center,360,67495,0.005333728,6
1,id_10,6,all,200 road corridor,hargeisa,600,3600,9.6013891 44.0862028 1327.0 4.731,9.6013891,44.0862028,1327,4.731,200 road corridor,600,18820,0.031880978,6
2,id_11,42,all,State house,hargeisa,4000,24000,9.5586908608675 44.03978576883674 1277.199951171875 5.0,9.558690861,44.03978577,1277.199951,5,State house,4000,18820,0.212539851,42
3,id_12,6,all,Cakaara,hargeisa,500,3000,9.55178723204881 44.06149866990745 1254.0 5.0,9.551787232,44.06149867,1254,5,Cakaara,500,18820,0.026567481,6
5,id_16,12,all,Ayax 3,hargeisa,2000,10000,9.524256666666668 44.02320666666666 1355.4 6.9,9.524256667,44.02320667,1355.4,6.9,Ayax 3,2000,18820,0.106269926,12
6,id_18,12,all,Naaso hablood A (T20),hargeisa,562,2810,9.57251281371866 44.1019164590411 1278.38223233184 4.0,9.572512814,44.10191646,1278.382232,4,Naaso hablood A (T20),562,18820,0.029861849,12
7,id_19,6,all,Ayax 4,hargeisa,420,2555,9.5167619 44.0314227 1358.0 4.817,9.5167619,44.0314227,1358,4.817,Ayax 4,420,18820,0.022316684,6
8,id_20,12,all,M.mooge IDPA,hargeisa,472,2832,9.539455592112056 44.10847070951372 1269.2380569244608 4.0,9.539455592,44.10847071,1269.238057,4,M.mooge IDPA,472,18820,0.025079702,12
9,id_21,30,all,Naasa hablood B,hargeisa,500,2500,9.576787849873186 44.08775136269885 1250.92795485578 4.0,9.57678785,44.08775136,1250.927955,4,Naasa hablood B,500,18820,0.026567481,30
10,id_22,6,all,Digaale,hargeisa,1180,7080,9.5126897014119 44.12097914949567 1324.1466614866217 4.0,9.512689701,44.12097915,1324.146661,4,Digaale,1180,18820,0.062699256,6
11,id_5,6,all,"jimca


ale idp",hargeisa,146,730,9.5951058 44.0948387 1312.0 4.588,9.5951058,44.0948387,1312,4.588,"jimca
ale idp",146,18820,0.007757705,6
12,id_8,18,all,Ayax 1,hargeisa,2000,5000,9.5323023 44.0417653 1298.0 4.823,9.5323023,44.0417653,1298,4.823,Ayax 1,2000,18820,0.106269926,18
13,id_9,24,all,Ayax 2,hargeisa,3500,20000,9.5360099 44.0331569 1299.0 4.976,9.5360099,44.0331569,1299,4.976,Ayax 2,3500,18820,0.18597237,24
4,id_13,12,all,J10,hargeisa,700,3500,9.583254728573277 44.08466523210615 1263.8127812606492 4.0,9.583254729,44.08466523,1263.812781,4,J10,700,18320,0.038209607,12
11,id_3,12,all,Sheedaha 150,hargeisa,500,3000,9.578260509297252 44.046488692983985 1327.300048828125 5.0,9.578260509,44.04648869,1327.300049,5,Sheedaha 150,500,18320,0.027292576,12
